Model Name,V_rated,Irated,Package,RthJC IGBT,RthJC Diode,RthCS,Blank,Tjrated,Vref,EonTjmax,hTjmax,kTjmax,xTjmax,EoffTjmax,mTjmax,nTjmax,yTjmax,VtTjmax,aTjmax,bTjmax,Er0Tjmax,d1Tjmax,d2Tjmax,VtdTjmax,adTjmax,bdTjmax,Eon,h,k,x,Eoff,m,n,y,Vt,a,b,Er0,d1,d2,Vtd,ad,bd,Include Model?,
Models_Random,,,,,,,,,,IGBT Parameters at Tjmax,,,,,,,,,,,Diode Parameters at Tjmax,,,,,,IGBT Parameters at 25°C,,,,,,,,,,,Diode Parameters at 25°C,Diode Parameters at 25°C,,,,,,
IRGP4650D,600,50,TO-247AC,0.56,1,1,,175,400,,28.7628,0.96188,,,31.3523,0.94401,,0.33972,0.22255,0.55213,,653.4933,0.091732,0.342787,0.172444,0.496716,,10.0597,1.054134,,,13.2764,1.051775,,0.570081,0.134927,0.538361,,392.421295,0.088458,0.65888,0.351986,0.343042,1,
IRGP4068D,600,48,TO-247AC,0.45,2,1,,175,400,,70.9766,0.85281,,,62.38798,0.65801,,0.32928,0.15878,0.60259,,79.26363079,0.459540512,0.41766,0.126903,0.446411,,21.7552,0.97428,,,21.6703,0.878227,,0.602013,0.107587,0.597122,,27.472611,0.444662,0.718709,0.108253,0.477556,1,
IRGP4063D1,600,60,TO-247AC,0.45,2.4,1,,150,400,102.0901,6.8943,1.43809,,102.9043,10.6085,1.19969,,0.42701,0.16354,0.58787,,24.75324,0.53824103,0.524916,0.285592,0.506883,52.0483,3.1717,1.573108,,51.8405,5.1538,1.364132,,0.639948,0.110753,0.568589,,19.912741,0.155913,0.72564,0.576575,0.310794,1,
IRGP4063D,600,48,TO-247AC,0.45,1,1,,175,400,,70.9935,0.8234,,,62.15723,0.68807,,0.3349,0.16406,0.6007,,649.005856,0.087458425,0.330817,0.180551,0.497439,,20.4071,0.941185,,,20.5658,0.869453,,0.566083,0.103444,0.607474,,391.88373,0.090867,0.629185,0.366547,0.341438,1,
IRGP4660D,600,60,TO-247AC,0.45,0.92,1,,175,400,,69.6877,0.82151,,,59.1511,0.67285,,0.33799,0.1538,0.60936,,649.9584,0.0857077,0.349136,0.177296,0.49038,,20.8758,0.905525,,,21.5981,0.91329,,0.608268,0.088309,0.634991,,399.695102,0.087667,0.672751,0.365661,0.350802,1,
IRGP4066D,600,75,TO-247AC,0.33,1,1,,175,400,,40.7538,1.08382,,,175.2483,0.63445,,0.36279,0.12881,0.58908,,650.873281,0.091333597,0.332961,0.173521,0.487726,,11.3551,1.236327,,,58.5248,0.82006,,0.645751,0.04649,0.746792,,409.889839,0.091745,0.671833,0.363751,0.334681,1,
IRGPS4067D,600,120,TO-274AA,0.2,0.63,1,,175,400,,28.4667,1.18433,,,47.9163,0.93027,,0.37617,0.0828,0.63455,,137.5949068,0.24615806,0.41606,0.08052,0.625112,,4.4409,1.46571,,,9.9589,1.219239,,0.632187,0.046098,0.659932,,108.841125,0.248682,0.788781,0.173443,0.450168,1,
IRGP4262D,650,40,TO-247AC,0.6,1.6,1,,150,400,154.9343,22.5647,1.19628,,61.3002,11.025,1.14951,,0.42866,0.24826,0.56235,,40.7808,0.5386466,0.446016,0.196115,0.463324,51.3462,9.4397,1.171006,,30.5503,5.9356,1.077834,,0.654633,0.164083,0.556695,,22.635437,0.188886,0.711671,0.267407,0.392718,1,
IRGP4263D,650,54,TO-247AC,0.46,0.97,1,,150,400,185.9525,29.5376,1.15677,,87.6157,16.8211,1.0236,,0.43178,0.16014,0.60856,,43.5863,0.4538966,0.473956,0.130445,0.548279,63.3851,6.1464,1.435089,,50.4025,7.5847,1.203703,,0.645594,0.103923,0.622786,,85.259257,-0.319691,0.753986,0.217247,0.447111,1,
IRGP4266D,650,90,TO-247AC,0.33,1.1,1,,150,400,195.8944,22.4344,1.21529,,200.9295,7.9406,1.26375,,0.42664,0.11969,0.60505,,68.871,0.551379,0.473186,0.130267,0.551186,103.9809,4.5871,1.58083,,102.1535,1.8816,1.65137,,0.61381,0.077849,0.630809,,5.288804,0.865195,0.798553,0.208865,0.424298,1,
